Component,State/Province,Dentitions,Foetal remains,Collection issues,Foetal remains description,Point style,RC age (95% intrvls),Med cal age,Reference,Pages,Notes
Heron-Eden,Saskatchewan,yes,no,no,,unfluted,10663-10196 (bone; S-3308),10397,"Corbeil, Marcel R., 1995. The Archaeology and Taphonomy of the Heron Eden Site, Southwestern Saskatchewan. MA theseis, University of Saskatchewan, Saskatoon.","35, 68-81",
Horner I,Wyoming,yes,no,yes,,unfluted,10156-9541 (bone; UCLA-697A),9800,"Todd, Lawrence C., Witter, Robert V., Frison, George C., 1987. Excavation and Documentation of the Princeton and Smithsonian Horner Site Assemblages. In The Horner Site: The Type Site of the Cody Cultural Complex, Frison, George C., Todd, Lawrence C. (eds.), pp. 39-92. Academic Press, Orlando.",75-76,"Lack of feotal remains inferred from the discussion of such remains for Horner II, which is lacking for Horner I"
Horner II,Wyoming,yes,yes,no,NISP=1,unfluted,"12521-12472, 12430-11087, 10920-1093 (wood; I-10900)",11671,"Todd, Lawrence C., 1987. Taphonomy of the Horner II Bone Bed. In The Horner Site: The Type Site of the Cody Cultural Complex, Frison, George C., Todd, Lawrence C. (eds.), pp. 107-198. Academic Press, Orlando.",133,
Hot Tubb,Texas,no,no,no,,fluted,none,none,"Meltzer, David J., Seebach, Jonh D., Byerly, Ryan M., 2006. The Hot Tubb Folsom-Midland Site (41 CR 10), Texas. Plains Anthropologist 51(198): 157-184.",NA,
Howard Gully,Oklahoma,no,no,no,,unfluted,12104-11756 (petrous bone; NZA-21228),11918,"Hurst, Stance, Carter, Brian J., Athfield, Nancy B., 2010. Investigation of a 10,214 Year Old Late Paleoindian Bison Kill at the Howard Gully Site in Southwestern Oklahoma. Plains Anthropologist 55(213): 25-37.",30-31,
Hudson-Meng,Nebraska,yes,no,no,,unfluted,"11069-10953, 10866-10844, 10822-10274 (bone collagen; SMU-102)",10609,"Agenbroad, Larry D., 1978. The Hudson-Meng Site: An Alberta Bison Kill in the Nebraska High Plains. University Press of Arizona, Tucson.",56-64,Debate exists as to whether the bone bed is anthropogenic.
Itasca,Minnesota,yes,no,no,,unfluted,"8999-7927, 7876-7871 (averaged two dates; wood)",8372,"Shay, C. Thomas, 1971. The Itasca Bison Kill Site: An Ecological Analysis. Minnesota Historical Society, St. Paul.",35,Time-transgressive assemblage that spans several thousand years; Early-Middle Holocene. Bone is most concentrated in Pollen zone 3.
Jake Bluff,Oklahoma,yes,no,no,,fluted,12745-12687 (petrous; UCIAMS-61657),12715,"Bement, Leland C., Carter, Brian J., 2010. Jake Bluff: Clovis Bison Hunting on the Southern Plains of North America. American Antiquity 75(4): 907-933.",921-925,
Jerry Craig,Colorado,yes,no,no,,unfluted,"10660-10612, 10609-10371, 10355-10339, 10329-10299 (charcoal; Beta-109467)",10513,"Kornfeld, Marcel, 2013. The First Rocky Mountaineers: Coloradans Before Colorado. University of Utah Press, Salt Lake City.",105-108,
Jim Pitts,South Dakota,no,no,no,,fluted,12101-11772 (tooth; SR-6155),11945,"Sellet, Frederic, Donohue, James, Hill, Matthew G., 2009. The Jim Pitts Site: A Stratified Paleoindian Site in the Black Hills of South Dakota. American Antiquity 74(4): 735-758.",741,
Jones Miller,Colorado,yes,unknown,no,,unfluted,"12716-11071, 10950-10869, 10835-10834 (charcoal; SI-1989)",11868,"Stanford, Dennis., 1984. The Jones-Miller Site: A Study of Hell Gap Bison Procurement and Processing. National Geographic Research Reports: 1975 Projects 16: 615-635.",626,"Radiocarbon date from Stanford (2006, in Handbook of North American Indians, Ubalaker, Douglas H. (ed.). Volume 3: Environment, Origins, and Population. Smithsonian Institution Press, Washington, D.C.)."
Jurgens: Area 1,Colorado,yes,unknown,no,,unfluted,none,none,"Wheat, Joe B., 1979. Memoir 15: The Jurgens Site. Plains Anthropologist 24(84) Part 2: 1-153.",NA,"Dentitions described in Hill and Hill (2002, Current Research in the Pleistocene 19: 104-106)."
Jurgens: Area 2,Colorado,no,unknown,no,,unfluted,none,none,"Wheat, Joe B., 1979. Memoir 15: The Jurgens Site. Plains Anthropologist 24(84) Part 2: 1-153.",NA,Lack of dentition based seasonality potential based on low number of fragmentary specimens
Jurgens: Area 3,Colorado,yes,unknown,no,,unfluted,"10494-10451, 10444-10115, 10083-9919 (scattered charcoal; SI-3726)",10235,"Wheat, Joe B., 1979. Memoir 15: The Jurgens Site. Plains Anthropologist 24(84) Part 2: 1-153.",NA,"Dentitions described in Hill and Hill (2002, Current Research in the Pleistocene 19: 104-106). Note, the radiocarbon date (p. 151 in Wheat 1979) lists 9070 ""BC"", but based on the rest of the text, I assume that this was intended to read ""BP""."
Laird,Kansas,yes,no,no,,unfluted,none,none,"Hofman, Jack L., Blackmar, Jeannette M., 1997. The Paleoindian Laird Bison Bone Bed in Northwestern Kansas. The Kansas Anthropologist 18: 45-58.",49,
Lake Theo,Texas,yes,unknown,no,,fluted,13460-12405 (humate; TX-4663),12927,"Todd, Lawrence C., Rapson, David J., Hofman, Jack L., 1997. Dentition Studies of the Mill Iron and Other Early Paleoindian Bison Bonebed Sites. In The Mill iron Site, Frison, George C. (ed.), pp. 145-176. University of New Mexico Press, Albuquerque.",170-171,"Date from Johnson et al (1982, North American Archaeologist 3:113-137). Probably predates the actual Folsom occupation. Other zooarcha analyses have been done for Lake Theo, but none that explicitly examine bison age structure and seasonality. Todd et al. analyze seasonality, but this is strictly within the broader framework of a dentition study."
Lamb Spring,Colorado,yes,no,no,,unfluted,"9397-9359, 9314-8283, 8264-8204 (bone; SI-45)",8750,"McCartney, Peter H., 1983. An Archaeological Analysis of Bison Remains from the Cody Paleo-Indian Site of Lamb Spring, Colorado. MA thesis, University of Arizona, Tucson.",54-70,
Lime Creek: Zone I,Nebraska,yes,yes,yes,NISP=2,unfluted,"11917-11908, 11823-9007 (soil)",10329,"Jones, David C., 1999. Late Paleoindian/Early Archaic Archaeology and Subsistence: A Taphonomic Analysis of the Lime Creek Site (25FT41), Southwest Nebraska. MS thesis, Colorado State University, Fort Collins.",73,
Lindemeier,Colorado,unknown,unknown,yes,,fluted,12649-12117 (wood; TO-342),12438,"Wilmsen, Edwin N., Roberts, Frank H., 1978. Lindenmeier, 1934-1974: Concluding Report of Investigations. Smithsonian Contributions to Anthropology No. 24. Smithsonian Institution, Washington D.C.",45-48,"Radiocarbon date from Haynes et al. (1992, in Ice Age Hunters of the Rockies, Stanford, Dennis J., Day, Jane S. (eds.), pp. 83-100)."
Linger,Colorado,yes,unknown,no,,fluted,none,none,"Jodry, Margaret A. B., 1999. Folsom Technological and Socioeconomic Strategies: Views from Stewart's Cattle Guard and the Upper Rio Grande Basin, Colorado. PhD dissertation, American University, Washington, D.C.",269,
Lipscomb,Texas,yes,no,yes,,fluted,"13055-12518, 12488-12426 (charcoal; NZA-1092)",12736,"Todd, Larence C., Hofman, Jack L., Schultz, C. Bertrand, 1992. Faunal Analysis and Paleoindian Studies: A Reexamination of the Lipscomb Bison Bonebed. Plains Anthropologist 37(139): 137-165.",140-142,Radiocarbon date from Horman (1995. Journal of Field Archaeology 22(4): 421-437).
Lubbock Lake: FA6-3,Texas,no,yes,no,"MNI=3, NISP=78",unfluted,"10111-10098, 9916-9479 (humate; SI-4177)",9651,"Johnson, Eileen, Holliday, Vance T., 1981. Late Paleo-Indian Activity at the Lubbock Lake Site. Plains Anthropologist 26(93): 173-193.",184-185,
Meserve,Nebraska,no,unknown,yes,,unfluted,11192-10214 (bone; AA-68354),10643,"Widga, Chris, 2007. Ongoing Invetigations of the Meserve Type Locality in Central Nebraska. Current Research in the Pleistocene 24: 145-147.",NA,
Mill Iron: Camp,Montana,yes,no,no,,fluted,"12538-12382, 12320-12309, 12274-12239, 12153-12149 (XAD bone collagen; UCIAMS-98370)",12450,"Todd, Lawrence C., Rapson, David J., Hofman, Jack L., 1997. Dentition Studies of the Mill Iron and Other Early Paleoindian Bison Bonebed Sites. In The Mill iron Site, Frison, George C. (ed.), pp. 145-176. University of New Mexico Press, Albuquerque.",162,"Radiocarbon date from Waters and Stafford (2014, Redating the Mill Iron Site, Montana: A Reexamination of Goshen Complex Chronology. American Antiquity 79(3): 541-548)."
Mill Iron: Kill,Montana,yes,no,no,,fluted,"12538-12382, 12320-12309, 12274-12239, 12153-12149 (XAD bone collagen; UCIAMS-98370)",12450,"Todd, Lawrence C., Rapson, David J., Hofman, Jack L., 1997. Dentition Studies of the Mill Iron and Other Early Paleoindian Bison Bonebed Sites. In The Mill iron Site, Frison, George C. (ed.), pp. 145-176. University of New Mexico Press, Albuquerque.",162,"Radiocarbon date from Waters and Stafford (2014, Redating the Mill Iron Site, Montana: A Reexamination of Goshen Complex Chronology. American Antiquity 79(3): 541-548)."
Milnesand,New Mexico,yes,no,yes,,unfluted,none,none,"Hill, Matthew E., Jr., 2002. The Milnesand Site: Site Formation Study of a Paloindian Bison Bonebed in Eastern New Mexico. Plains Anthropologist 47(183): 323-337.",NA,The single available radiocarbon date is old and run on burned bone. It is widely viewed as unreliable.
Murray Springs: Area 4,Arizona,yes,no,no,,fluted,"12837-12524, 12468-12433 (A-1045, charcoal from nearby hearth)",12680,"Hemmings, E. Thomas, 2007. Buried Animal Kills and Processing Localities, Areas 1-5. In Murray Springs: A Clovis Site with Multiple Activity Areas in the San Pedro Valley, Arizona, Haynes, C. Vance, Jr., Huckell, Bruce B. (eds.), pp. 83-137. The University of Arizona Press, Tucson.",119-120,
Norton,Kansas,yes,unknown,no,,unfluted,"10475-10471, 10420-10158 (collagen; CAMS-16032)",10240,"Hill, Matthew E., Jr., 2007. Causes of Regional and Temporal Variation in Paleoindian Diet in Western North America. PhD dissertation, University of Arizona, Tucson.",316,"Radiocarbon date from Hofman et al. (1995, Current Research in the Pleistocene 12: 19-21)."
Olsen Chubbuck,Colorado,yes,no,yes,Wheat notes that an absence of foetal remains could be a byproduct of collection by Olsen and Chubbuck.,unfluted,12965-10421 (bone),11756,"Wheat, Joe B., 1972. The Olsen-Chubbuck Site: A Paleo-Indian Bison Kill. American Antiquity 37(1):1-180.",90,
OV Clary,Nebraska,yes,yes,no,"MNI=4, NISP=60",unfluted,"10365-10362, 10293-10138, 10059-10039, 10023-10013, 9989-9943 (wood charcoal; AA65422)",10214,"Hill, Matthew G., Rapson, David J., Loebel, Thomas J., May, David W., 2011. Site Structure and Activity Organization at a Late Paleoindian Base Camp in Western Nebraska. American Antiquity 76(4): 752-772.",757-758,Radiocarbon date from Hill et al. 2008 (Quaternary International 191:115-130).
Perry Ranch,Oklahoma,yes,no,no,,unfluted,none,none,"Hofman, Jack L., Todd, Lawrence C., 1997. Reinvestigation of the Perry Ranch Plainview Bison Bonebed, Southwestern Oklahoma. Plains Anthropologist 42(159): 101-117.",109-112,The radiocarbon date associated with this bonebed is young and considered unreliable.
Plainview,Texas,yes,yes,yes,NISP > 1,unfluted,12401-11760 (calcined bone collagen; ),12065,"Mill, Matthew E., Jr., 2010. Season of Bison Mortality at the Plainview Type Site (41HA1). Current Research in the Pleistocene 27: 93-96.",94-95,
Rattlesnake Pass,Wyoming,no,unknown,no,,fluted,"12048-11093, 10915-10910 (soil; TX-6304)",11490,"Smith, Craig S., McNees, Lance M., 1990. Rattlesnake Pass Site: A Folsom Occupation in South-Central Wyoming. Plains Anthropologist 35(129): 273-289.",277,"Additional faunal analysis is described in Griffitts (1989, in Archaeological Investigations Along the AT&T Fiber Optic Cable Right-Of-Way, Wyoming: Excavations at the Rattlesnake Pass Site, A Colsom Occupation, Cabron County, Wyoming, McNees, L.M., Smith, C.S. (eds.)), a report which could not be accessed during the creation of this spreadsheet."
Ravenscroft I,Oklahoma,unknown,yes,no,NISP unknown,unknown,"9769-9576, 9574-9562 (petrous; UCIAMS-61664)",9680,"Muhammad, Faisal S., 2017. The Ravenscroft II Site: A Late Paleo-Indian Winter Bison Kill Event in the Oklahoma Panhandle. MA thesis, University of Oklahoma, Norman.",39-40,"Radiocarbon date from Bement et al. (2012, Oklahoma Anthropological Society Bulletin 60: 12-30)."
Ravenscroft II,Oklahoma,yes,yes,no,NISP=2 and other presumably unidentified specimens,unfluted,"10654-10618, 10605-10488, 10458-10436 (petrous; UCIAMS-136077)",10548,"Muhammad, Faisal S., 2017. The Ravenscroft II Site: A Late Paleo-Indian Winter Bison Kill Event in the Oklahoma Panhandle. MA thesis, University of Oklahoma, Norman.",54-55,
Rex Rodgers,Texas,yes,no,no,,unfluted,10723-10270 (bone apatite; SMU-274),10526,"Hill, Matthew E., 2010. Analysis of Site Formation Processes at the Rex Rodgers Bison Bonebed. Plains Anthropologist 55(2013): 3-24.",16-18,
San Jon: Area II,New Mexico,no,no,yes,,unfluted,"9886-9873, 9868-9844, 9822-8704, 8666-8662 (residue; A-7864)",9313,"Hill, Matthew G., Holliday, Vance T., Stanford, Dennis J., 1995. A Further Evaluation of the San Jon Site, New Mexico. Plains Anthropologist 40(154): 369-390.",380,
Scottsbluff,Nebraska,yes,no,yes,,unfluted,"10239-9763, 9752-9746 (gelatin; AA-67443)",10035,"Hill, Matthew E., Jr., Boehm, Andrew R., 2017. A New Look at the Old Scottsbluff Bison Quarry: Using Isotopes and Zooarchaeology to Understand Bonebed Formation. PaleoAmerica 3(1): 84-95.",89,
Seminole-Rose,Texas,no,unknown,no,,unfluted,none,none,"Collins, Michael B., Stanford, Dennis J., Hofman, Jack L., Jodry, Margaret A., Rose, Richard O., Todd, Lawrence C., Kibler, Karl, Blackmar, Jeannette M., 1997. Cody Down South: The Seminole-Rose Site in West Texas. Current Research in the Pleistocene 14: 15-18.",16,
Shifting Sands,Texas,no,no,no,,fluted,none,none,"Hofman, Jack L., Amick, Daniel S., Rose, Richard O., 1990. Shifting Sands: A Folsom-Midland Assemblage from a Campsite in Western Texas. Plains Anthropologist 35(129): 221-253.",233-234,
St. Louis: VII,Saskatchewan,no,no,no,,unfluted,"8968-8964, 8953-8919, 8891-8889, 8862-8832, 8783-8420 (unknown material; Beta-17609)",8517,"Rychlo, Jennifer N., 2016. The Camp Rayner Site (EgNr-2): Terminal/Lae Paleoindian and Early Middle Period Transitions on the Northern Plains. MA thesis, University of Saskatchewan, Saskatoon.",91-92,Associated contract report indicates no seasonality data.
St. Louis: VIII,Saskatchewan,no,no,no,,unknown,8997-8636 (bone; Beta-168388),8825,"Rychlo, Jennifer N., 2016. The Camp Rayner Site (EgNr-2): Terminal/Lae Paleoindian and Early Middle Period Transitions on the Northern Plains. MA thesis, University of Saskatchewan, Saskatoon.",91-92,Associated contract report indicates no seasonality data.
Stewart's Cattle Guard,Colorado,yes,no,no,,fluted,none,none,"Jodry, Margaret A. B., 1999. Folsom Technological and Socioeconomic Strategies: Views from Stewart's Cattle Guard and the Upper Rio Grande Basin, Colorado. PhD dissertation, American University, Washington, D.C.",268,
Upper Twin Mountain,Colorado,yes,no,no,,fluted,"12561-12362, 12359-12221, 12218-12137 (bone; CAMS-26782)",12418,"Kornfeld, Marcel, 2013. The First Rocky Mountaineers: Coloradans Before Colorado. University of Utah Press, Salt Lake City.",102-105,
Waugh,Oklahoma,no,no,no,,fluted,"12696-11601, 11544-11536, 11534-11496, 11428-11412 (charcoal; NZA-3602)",12188,"Hill, Matthew E., Jr., Hofman, Jack L., 1997. The Waugh Site: A Folsom-Age Bison Bonebed in Northwestern Oklahoma. Plains Anthropologist 42(159): 63-83.",71-73,
"Welsch Locality: Plains Mountain, Component 1",Alberta,unknown,no,no,,unfluted,"9448-8858, 8834-8778 (bone collagen; AECV-1379C)",9149,"Van Dyke, Stanley, 2008. Oldman River Dam Prehistoric Archaeology Mitigation Program. Occasional Papers of the Archaeological Society of Alberta No. 9. Alberta Community Development, Provincial Museum of Alberta, Edmonton.",123,"Lack of mention of foetal bone, unlike the narrative for the other two Welsch components."
"Welsch Locality: Plains Mountain, Component 2",Alberta,yes,yes,no,NISP=34,unfluted,8545-8340 (bone collagen; Beta-38788),8422,"Van Dyke, Stanley, 2008. Oldman River Dam Prehistoric Archaeology Mitigation Program. Occasional Papers of the Archaeological Society of Alberta No. 9. Alberta Community Development, Provincial Museum of Alberta, Edmonton.",134,Foetal remains are widely dispersed throughout the bonebed.
"Welsch Locality: Plains Mountain, Component 3",Alberta,unknown,yes,no,MNI=1,unfluted,8413-8037 (bone collagen; AECV-1377C),8262,"Van Dyke, Stanley, 2008. Oldman River Dam Prehistoric Archaeology Mitigation Program. Occasional Papers of the Archaeological Society of Alberta No. 9. Alberta Community Development, Provincial Museum of Alberta, Edmonton.",148,"Foetal bone is comprised of ""scrap"""
Winger,Kansas,no,no,no,,unfluted,"10501-10118, 10067-9925 (bone; unknown lab ID)",10248,"Boehm, Andrew R., 2016. Were Bison Predictable Prey? Using Stable Isotopes to Examine Early Holocene Bison Mobility on the Central Great Plains. PhD dissertation, Southern Methodist University, Dallas.",138-139,"Radiocarbon date from Mandel and Hofman (2002, Current Research in the Pleistocene 19: 61-64)."
Zapata,Colorado,unknown,unknown,no,,fluted,none,none,"Dawson, Jerry, Stanford, Dennis, 1975. The Linger Site: A Re-Investigation. Southwestern Lore 41: 11-16.",NA,
